Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Sanmatenga,Loroum,Yatenga,Mouhoun,Komonjdjari,Bam,Kossi,Gourma,Nayala,Yagha,Soum,Oudalan,Sourou,Kompienga,Banwa,Gnagna,Namentenga,Zondoma,Tapoa,Bale,Passore
Information générale,Socio-économique,Profession chef de ménage: Eleveur,NA,5,2,3,2,1,11,2,1,2,2,1,4,7,2,7,2,1,1,1,2,5,2
Information générale,Socio-économique,Profession chef de ménage: Etudiant/Elève,NA,0,0,1,0,3,2,NA,0,1,NA,0,1,NA,1,3,2,1,1,NA,1,NA,NA
Information générale,Socio-économique,Profession chef de ménage: Fonctionnaire (sauf professeur),NA,4,1,1,4,3,7,1,1,3,5,2,2,1,4,1,3,1,1,1,4,1,NA
Information générale,Socio-économique,Profession chef de ménage: Pas de profession,NA,3,3,1,0,1,1,1,1,1,NA,1,0,1,1,4,NA,1,5,1,3,3,NA
Information générale,Socio-économique,Profession chef de ménage: Pas de réponse / ne souhaite pas répondre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Socio-économique,Profession chef de ménage: Professeur / maître d'école,NA,NA,5,3,1,1,NA,3,2,2,1,2,0,0,2,NA,9,3,5,5,4,3,1
Information générale,Socio-économique,Profession chef de ménage: Transporteur,NA,1,0,0,NA,NA,NA,1,0,1,NA,0,1,1,0,2,1,NA,NA,2,1,NA,NA
Information générale,Socio-économique,Profession chef de ménage: Travailleur du secteur privé,NA,7,1,4,2,2,6,2,1,3,NA,1,4,7,2,3,2,1,2,2,3,1,NA
Information générale,Socio-économique,"Profession chef de ménage: Travailleur indépendant (artisan, ouvrier, manœuvre etc.)",NA,17,4,5,13,7,7,7,5,8,5,6,12,9,5,4,1,5,7,10,5,4,5
Information générale,Socio-économique,Situation matrimonial: Celibataire,NA,1,NA,1,2,5,NA,NA,1,2,NA,NA,0,NA,1,1,5,2,1,2,2,1,1
Information générale,Socio-économique,"Situation matrimonial: Concubinage (en couple, pas marie)",NA,NA,7,1,1,2,2,8,5,1,19,1,1,NA,0,NA,1,NA,11,NA,NA,16,0
Information générale,Socio-économique,Situation matrimonial: Divorcé/e,NA,NA,0,0,NA,NA,NA,NA,NA,3,1,0,NA,1,1,3,NA,NA,NA,1,0,NA,NA
Information générale,Socio-économique,Situation matrimonial: Marié - Monogame,NA,66,45,45,44,60,58,48,65,65,48,68,49,76,64,54,61,68,51,48,58,47,53
Information générale,Socio-économique,Situation matrimonial: Marié - Polygame,NA,29,44,52,51,23,38,42,25,28,25,28,50,21,33,34,31,26,35,40,33,23,38
Information générale,Socio-économique,Situation matrimonial: Veuf/veuve,NA,4,3,2,2,11,2,1,3,3,7,2,0,3,2,9,2,4,3,8,7,12,8
Information générale,Déplacement,Condition retour déplacés: Autres (merci de préciser),NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,NA
Information générale,Déplacement,Condition retour déplacés: Je ne sais pas / préfère ne pas répondre,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,NA
Information générale,Déplacement,Condition retour déplacés: La capacité de regagner la maison initiale,NA,19,35,13,19,NA,20,47,18,8,NA,12,26,13,24,0,NA,NA,38,NA,4,NA,NA
Information générale,Déplacement,Condition retour déplacés: Présence d’autres membres de la famille (regroupement familiale),NA,8,7,25,16,NA,6,11,4,6,NA,35,8,30,8,9,NA,NA,8,NA,20,NA,NA
Information générale,Déplacement,Condition retour déplacés: Présence d’autres membres de la famille (regroupement familiale),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Condition retour déplacés: Un accès à des abris,NA,6,28,20,22,NA,34,18,18,28,NA,6,4,9,21,0,NA,NA,34,NA,14,NA,NA
Information générale,Déplacement,"Condition retour déplacés: Un accès à des moyens de subsistance (champs, nourriture, marché, …)",NA,31,40,37,39,NA,40,54,40,34,NA,18,48,20,32,36,NA,NA,40,NA,53,NA,NA
Information générale,Déplacement,Condition retour déplacés: Un accès à l'emploi / opportunité économique,NA,25,15,16,10,NA,14,12,23,18,NA,15,27,19,13,0,NA,NA,17,NA,16,NA,NA
Information générale,Déplacement,"Condition retour déplacés: Un accès aux services (santé, éducation)",NA,2,6,28,14,NA,11,9,11,15,NA,8,5,13,10,0,NA,NA,6,NA,20,NA,NA
Information générale,Déplacement,Condition retour déplacés: Un rétablissement de la sécurité,NA,89,80,94,90,NA,97,80,74,92,NA,90,78,84,86,100,NA,NA,91,NA,92,NA,NA
Information générale,Déplacement,Condition retour déplacés: Une meilleure aide d'assistance humanitaire,NA,3,15,17,18,NA,3,13,14,9,NA,4,4,4,0,9,NA,NA,21,NA,2,NA,NA
Information générale,Déplacement,Durée déplacement: Entre 1 et 2 mois,Sous-ensemble de donnée,1,NA,1,2,NA,2,NA,4,14,NA,7,1,2,4,83,NA,NA,NA,NA,7,NA,NA
Information générale,Déplacement,Durée déplacement: Entre 3 et 5 mois,Sous-ensemble de donnée,4,5,12,18,NA,26,4,14,26,NA,20,2,9,13,8,NA,NA,21,NA,9,NA,NA
Information générale,Déplacement,Durée déplacement: Entre 6 mois et 1 ans,Sous-ensemble de donnée,64,41,69,47,NA,61,57,43,57,NA,44,47,50,42,8,NA,NA,63,NA,71,NA,NA
Information générale,Déplacement,Durée déplacement: Moins de 1 mois,Sous-ensemble de donnée,1,NA,1,1,NA,5,NA,8,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
Information générale,Déplacement,Durée déplacement: Plus de 1 an,Sous-ensemble de donnée,30,53,18,32,NA,6,39,30,NA,NA,29,50,38,40,NA,NA,NA,13,NA,13,NA,NA
Information générale,Déplacement,Groupe de population: Population déplacée interne – toutes les personnes originaire du Burkina Faso qui ont dû quitter leur lieu de résidence habituel et sont présentement déplacés à l’intérieur de leur pays en raison de la crise,NA,27,31,21,5,NA,4,19,3,4,NA,1,38,16,2,3,NA,NA,15,NA,0,NA,NA
Information générale,Déplacement,"Groupe de population: Population locale – toutes les personnes qui, au moment de l'enquête, ne sont pas dans une situation de migration, de déplacement forcé en raison de la crise ou de retour suite à un déplacement forcé",NA,72,69,70,93,97,96,81,93,95,99,98,62,83,95,97,97,100,85,99,100,92,100
Information générale,Déplacement,Groupe de population: Population migrante burkinabé - tous les ménages qui sont originaires du Burkina Faso mais qui vivent à l'extérieur de leur zone d'origine par choix (par exemple pour des opportunités d'emploi),NA,0,NA,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,8,NA
Information générale,Déplacement,Groupe de population: Population migrante internationale - tous les ménages qui ne sont pas originaire du Burkina Faso mais qui se trouvent au Burkina Faso par choix (par exemple pour la recherche d'emploi).,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,"Groupe de population: Population réfugiée - toutes les personnes qui ne sont pas originaires du Burkina Faso, qui ont été déplacées d'un autre pays en raison de la crise et qui résident actuellement au Burkina Faso.",NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,"Groupe de population: Population retournée – toutes les personnes burkinabées qui sont retournées récemment dans leur lieu de résidence habituelle après avoir été déplacé par la crise à l’intérieur de leur pays. Cela ne signifie pas nécessairement qu’elles ont rejoint / retrouvé leurs maisons d’origine, ni qu’elles sont exactement dans la même localité.",NA,1,NA,10,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Ménage accueil déplacés: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA
Information générale,Déplacement,Ménage accueil déplacés: Non,Sous-ensemble de donnée,82,66,74,92,98,67,64,90,83,97,84,40,78,96,75,95,88,78,100,88,100,98
Information générale,Déplacement,Ménage accueil déplacés: Oui,Sous-ensemble de donnée,18,33,26,8,NA,33,36,10,17,3,16,60,22,4,25,5,12,22,NA,12,NA,2
Information générale,Déplacement,Nombre ménages accueillis,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Pays rapatriés: Mali,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Possibilité retour déplacés: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,1,NA,1,3,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Information générale,Déplacement,Possibilité retour déplacés: Non,Sous-ensemble de donnée,5,3,7,18,NA,42,6,19,30,NA,21,5,6,22,8,NA,NA,25,NA,7,NA,NA
Information générale,Déplacement,Possibilité retour déplacés: Oui,Sous-ensemble de donnée,95,97,93,79,NA,56,94,80,70,NA,78,95,94,78,92,NA,NA,73,NA,93,NA,NA
Information générale,Déplacement,Province retournés: Loroum,Sous-ensemble de donnée,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Province retournés: Yatenga,Sous-ensemble de donnée,NA,NA,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Bam,Sous-ensemble de donnée,NA,NA,NA,1,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Banwa,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Boulkiemde,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
Information générale,Déplacement,Provinces origines PDI: Gnagna,Sous-ensemble de donnée,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Gourma,Sous-ensemble de donnée,NA,1,NA,NA,NA,8,NA,NA,83,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Kadiogo,Sous-ensemble de donnée,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
Information générale,Déplacement,Provinces origines PDI: Kenedougou,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
Information générale,Déplacement,Provinces origines PDI: Komonjdjari,Sous-ensemble de donnée,NA,NA,NA,NA,NA,89,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Kompienga,Sous-ensemble de donnée,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Kossi,Sous-ensemble de donnée,NA,NA,NA,NA,53,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Kouritenga,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Loroum,Sous-ensemble de donnée,NA,NA,93,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Mouhoun,Sous-ensemble de donnée,NA,NA,NA,NA,27,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Namentenga,Sous-ensemble de donnée,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,16,NA
Information générale,Déplacement,Provinces origines PDI: Noumbiel,Sous-ensemble de donnée,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Oudalan,Sous-ensemble de donnée,6,NA,NA,NA,20,NA,2,1,NA,NA,NA,NA,72,NA,NA,NA,NA,1,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Passore,Sous-ensemble de donnée,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
Information générale,Déplacement,Provinces origines PDI: Sanguie,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Sanmatenga,Sous-ensemble de donnée,1,87,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Seno,Sous-ensemble de donnée,61,3,NA,NA,NA,NA,2,NA,NA,NA,1,2,1,NA,NA,NA,NA,15,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Soum,Sous-ensemble de donnée,29,8,6,24,NA,NA,24,NA,NA,NA,7,98,27,NA,NA,NA,NA,19,NA,NA,14,NA
Information générale,Déplacement,Provinces origines PDI: Sourou,Sous-ensemble de donnée,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Tapoa,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
Information générale,Déplacement,Provinces origines PDI: Yagha,Sous-ensemble de donnée,2,NA,NA,NA,NA,NA,1,1,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Provinces origines PDI: Yatenga,Sous-ensemble de donnée,NA,NA,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA
Information générale,Déplacement,Provinces origines PDI: Zoundweogo,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,"Raison déplacement PDI (push factor): Absence de nourriture ou moyens de subsistance (emplois, revenus, etc.)",Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Raison déplacement PDI (push factor): Attaques armées (Attaques d'un groupe armé contre une population non armée ),Sous-ensemble de donnée,89,78,90,72,NA,77,73,81,79,NA,80,91,83,69,67,NA,NA,87,NA,38,NA,NA
Information générale,Déplacement,Raison déplacement PDI (push factor): Conflits armés (conflit entre des groupes armés ),Sous-ensemble de donnée,2,19,NA,2,NA,10,23,2,11,NA,6,3,6,4,NA,NA,NA,11,NA,16,NA,NA
Information générale,Déplacement,Raison déplacement PDI (push factor): Conflits communautaires,Sous-ensemble de donnée,1,NA,NA,2,NA,NA,1,8,1,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,"Raison déplacement PDI (push factor): Manque de services (santé, éducation, etc.)",Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Raison déplacement PDI (push factor): Peur de violences armées / menaces,Sous-ensemble de donnée,7,2,10,24,NA,13,3,8,9,NA,13,6,9,14,33,NA,NA,2,NA,45,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Autres (merci de préciser),Sous-ensemble de donnée,1,NA,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Possibilité d'accès à des abris,Sous-ensemble de donnée,1,6,1,NA,NA,5,3,3,2,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA
Information générale,Déplacement,"Raison installation PDI (pull factor): Possibilité d'accès à des moyens de subsistance (champs, nourriture, marché, …)",Sous-ensemble de donnée,1,NA,2,2,NA,8,1,7,1,NA,1,5,NA,5,NA,NA,NA,NA,NA,4,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Possibilité d'accès à l'emploi / opportunité économique,Sous-ensemble de donnée,NA,1,NA,2,NA,NA,1,8,NA,NA,2,3,1,8,NA,NA,NA,1,NA,NA,NA,NA
Information générale,Déplacement,"Raison installation PDI (pull factor): Possibilité d'accès aux services (santé, éducation)",Sous-ensemble de donnée,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,2,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Présence d’autres membres de la famille (regroupement familial),Sous-ensemble de donnée,8,13,28,29,NA,10,17,7,5,NA,27,10,21,18,25,NA,NA,17,NA,NA,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Une meilleure aide d'assistance humanitaire,Sous-ensemble de donnée,NA,NA,3,1,NA,5,2,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
Information générale,Déplacement,Raison installation PDI (pull factor): Une meilleure situation sécuritaire,Sous-ensemble de donnée,90,80,66,63,NA,73,76,69,90,NA,67,82,77,55,75,NA,NA,77,NA,95,NA,NA
Information générale,Déplacement,Région origines PDI: Boucle du Mouhoun,Sous-ensemble de donnée,NA,NA,NA,1,80,NA,NA,96,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Région origines PDI: Centre,Sous-ensemble de donnée,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
Information générale,Déplacement,Région origines PDI: Centre-Est,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Région origines PDI: Centre-Nord,Sous-ensemble de donnée,1,88,NA,1,NA,NA,72,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,62,NA,NA,16,NA
Information générale,Déplacement,Région origines PDI: Centre-Ouest,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
Information générale,Déplacement,Région origines PDI: Centre-Sud,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Région origines PDI: Est,Sous-ensemble de donnée,NA,1,NA,NA,NA,100,NA,NA,100,NA,1,NA,NA,NA,100,NA,NA,4,NA,100,NA,NA
Information générale,Déplacement,Région origines PDI: Hauts-Bassins,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
Information générale,Déplacement,Région origines PDI: Nord,Sous-ensemble de donnée,NA,NA,94,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,38,NA
Information générale,Déplacement,Région origines PDI: Sahel,Sous-ensemble de donnée,98,11,6,24,20,NA,28,2,NA,NA,99,100,99,NA,NA,NA,NA,35,NA,NA,14,NA
Information générale,Déplacement,Région origines PDI: Sud-Ouest,Sous-ensemble de donnée,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Déplacement,Région retournés: Nord,Sous-ensemble de donnée,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Information générale,Washington Group,% ayant de la difficulté  à entendre: Femmes de 18 à 64 ans,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
Information générale,Washington Group,% ayant de la difficulté  à entendre: Femmes de plus de 65 ans,NA,3,0,4,7,0,0,0,0,0,0,2,5,0,4,0,0,0,7,3,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à entendre: Filles de 5 à 17 ans,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à entendre: Filles de moins de 5 ans,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à entendre: Garçons de 5 à 17 ans,NA,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Information générale,Washington Group,% ayant de la difficulté  à entendre: Garçons de moins de 5 ans,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à entendre: Hommes de 18 à 64 ans,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à entendre: Hommes de plus de 65 ans,NA,0,0,7,3,0,0,0,0,0,0,0,2,0,8,0,0,4,0,2,0,0,11
Information générale,Washington Group,% ayant de la difficulté  à voir: Femmes de 18 à 64 ans,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à voir: Femmes de plus de 65 ans,NA,3,11,1,5,0,7,5,1,0,5,5,12,6,0,0,0,6,14,10,0,0,3
Information générale,Washington Group,% ayant de la difficulté  à voir: Filles de 5 à 17 ans,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à voir: Filles de moins de 5 ans,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à voir: Garçons de 5 à 17 ans,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à voir: Garçons de moins de 5 ans,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté  à voir: Hommes de 18 à 64 ans,NA,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1
Information générale,Washington Group,% ayant de la difficulté  à voir: Hommes de plus de 65 ans,NA,4,7,1,5,0,0,17,0,9,8,4,6,11,3,0,19,8,10,4,27,0,2
Information générale,Washington Group,% ayant de la difficulté à communiquer: Femmes de 18 à 64 ans,NA,0,0,0.1,0.4,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.3,0,0.6
Information générale,Washington Group,% ayant de la difficulté à communiquer: Femmes de plus de 65 ans,NA,0,0,0,0.1,0,0,0,0,4.5,0,0,0,0,3.7,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté à communiquer: Filles de 5 à 17 ans,NA,0.6,0.1,0.6,0.3,0.7,0,0,0,0.9,0,0,0.2,0.5,0,0.2,0,0,0,1.9,0,0,0.3
Information générale,Washington Group,% ayant de la difficulté à communiquer: Filles de moins de 5 ans,NA,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté à communiquer: Garçons de 5 à 17 ans,NA,0,0.1,0,0,0,0,0,0,0,0,0.6,0,0.3,0,0,0,0,0,0,0.1,0.5,0.3
Information générale,Washington Group,% ayant de la difficulté à communiquer: Garçons de moins de 5 ans,NA,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Information générale,Washington Group,% ayant de la difficulté à communiquer: Hommes de 18 à 64 ans,NA,0.1,0.4,0.1,0.2,0,0,0.4,0,0.3,0,0,0.2,0.1,0,0,0,0,0,0.7,0,0,0
Information générale,Washington Group,% ayant de la difficulté à communiquer: Hommes de plus de 65 ans,NA,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
Information générale,Washington Group,% ayant de la difficulté à marcher/monter des marches: Femmes de 18 à 64 ans,NA,0.4,0.1,0.6,0.7,0,0,0.1,0.2,0,0.5,0.6,0.6,0.3,0.8,0.3,0.8,0.8,1.1,0.3,0.1,0.2,1.3
