Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Centre-Est,Sahel,Centre-Nord,Centre-Ouest,Nord,Boucle du Mouhoun,Hauts-Bassins,Est,Cascades,Plateau Central,Centre-Sud,Sud-Ouest,Centre
Sécurité alimentaire,Household hunger scale,PDI,HHS seuils: Peu ou pas de faim,NA,65,69,93,NA,80,85,55,54,54,69,NA,NA,NA
Sécurité alimentaire,Reduced Coping Strategies Index,Communauté hôte,rCSI score,NA,5.3,11,5.3,8.4,8.2,4.4,4.7,10.4,3.9,3.2,5.4,4.5,2.6
Sécurité alimentaire,Reduced Coping Strategies Index,Communauté hôte,rCSI seuils: Basses,NA,18,26,32,27,40,27,27,27,40,31,21,44,27
Sécurité alimentaire,Reduced Coping Strategies Index,Communauté hôte,rCSI seuils: Elevées,NA,13,31,9,25,19,8,10,30,3,4,17,7,4
Sécurité alimentaire,Reduced Coping Strategies Index,Communauté hôte,rCSI seuils: Moyennes,NA,9,19,14,12,18,10,13,20,9,9,8,7,9
Sécurité alimentaire,Reduced Coping Strategies Index,Communauté hôte,rCSI seuils: Pas de stratégie utilisée,NA,60,23,45,35,23,54,50,24,48,56,54,42,61
Sécurité alimentaire,Reduced Coping Strategies Index,PDI,rCSI score,NA,14.5,14.6,9.5,NA,16.2,7.5,19.6,16.4,19.7,9.8,NA,NA,NA
Sécurité alimentaire,Reduced Coping Strategies Index,PDI,rCSI seuils: Basses,NA,20,24,30,NA,22,23,14,19,10,27,NA,NA,NA
Sécurité alimentaire,Reduced Coping Strategies Index,PDI,rCSI seuils: Elevées,NA,36,38,24,NA,46,17,45,50,50,26,NA,NA,NA
Sécurité alimentaire,Reduced Coping Strategies Index,PDI,rCSI seuils: Moyennes,NA,21,31,12,NA,21,17,28,26,28,17,NA,NA,NA
Sécurité alimentaire,Reduced Coping Strategies Index,PDI,rCSI seuils: Pas de stratégie utilisée,NA,23,7,33,NA,10,43,13,6,12,30,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS crise,NA,0.2,0.3,0.3,0.2,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS minimal,NA,0.6,0.2,0.4,0.4,0.3,0.5,0.6,0.3,0.6,0.6,0.5,0.5,0.7
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS seuils: Aucune,NA,39,29,47,26,35,44,59,33,67,41,22,59,49
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS seuils: Crise,NA,30,21,17,30,25,24,11,20,6,29,41,10,19
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS seuils: Stresse,NA,28,46,36,41,36,29,26,42,23,27,37,30,31
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS seuils: Urgence,NA,2,3,1,2,4,2,4,5,4,3,NA,1,2
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS stress,NA,0.4,0.7,0.6,0.6,0.6,0.5,0.4,0.7,0.3,0.3,0.4,0.4,0.3
Sécurité alimentaire,Livelihood Coping Strategies,Communauté hôte,LCS urgence,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS crise,NA,0.4,0.4,0.4,NA,0.5,0.3,0.2,0.4,0.2,0.3,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS minimal,NA,0.3,0.2,0.3,NA,0.2,0.3,0.6,0.1,0.6,0.4,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS seuils: Aucune,NA,25,28,51,NA,33,30,67,19,62,30,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS seuils: Crise,NA,40,24,21,NA,35,29,11,19,10,33,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS seuils: Stresse,NA,27,47,27,NA,24,35,7,43,15,33,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS seuils: Urgence,NA,8,1,1,NA,8,5,15,20,13,5,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS stress,NA,0.6,0.8,0.6,NA,0.7,0.6,0.4,0.8,0.3,0.5,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,PDI,LCS urgence,NA,0.1,0,0,NA,0.1,0.1,0.1,0.2,0.1,0,NA,NA,NA
